Symbol,Name,Country,IPO Year,Volume,Sector,Industry
avnt,Avient Corporation,United States,NA,333620,Basic Industries,Major Chemicals
avtr,Avantor Inc.,NA,2019,2715333,Capital Goods,Biotechnology: Laboratory Analytical Instruments
avy,Avery Dennison Corporation,United States,NA,323210,Consumer Durables,Containers/Packaging
avya,Avaya Holdings Corp.,NA,NA,513524,Public Utilities,Telecommunications Equipment
awi,Armstrong World Industries Inc,United States,NA,229332,Consumer Non-Durables,Plastic Products
awk,American Water Works Company Inc.,United States,2008,611598,Public Utilities,Water Supply
awr,American States Water Company,United States,NA,121805,Public Utilities,Water Supply
ax,Axos Financial Inc.,United States,2018,191560,Finance,Savings Institutions
axl,American Axle & Manufacturing Holdings Inc.,United States,NA,1367924,Capital Goods,Auto Parts:O.E.M.
axp,American Express Company,United States,NA,2399457,Finance,Finance: Consumer Services
axr,AMREP Corporation,United States,NA,5547,Consumer Services,Newspapers/Magazines
axs,Axis Capital Holdings Limited,Bermuda,2003,252585,Finance,Property-Casualty Insurers
ayx,Alteryx Inc. Class A,United States,2017,820797,Technology,Computer Software: Prepackaged Software
azek,The AZEK Company Inc. Class A,United States,2020,868887,Consumer Non-Durables,Plastic Products
azo,AutoZone Inc.,United States,NA,168828,Consumer Services,Other Specialty Stores
b,Barnes Group Inc.,United States,NA,173472,Capital Goods,Metal Fabrications
ba,Boeing Company (The),United States,NA,9900241,Capital Goods,Aerospace
bac,Bank of America Corporation,United States,NA,43073775,Finance,Major Banks
bah,Booz Allen Hamilton Holding Corporation,United States,2010,676349,Consumer Services,Professional Services
baly,Bally's Corporation,NA,2019,320541,Consumer Services,Hotels/Resorts
bam,Brookfield Asset Management Inc.,Canada,NA,1817376,Consumer Services,Building operators
banc,Banc of California Inc.,United States,NA,205372,Finance,Major Banks
bap,Credicorp Ltd.,Peru,NA,616681,Finance,Commercial Banks
bax,Baxter International Inc.,United States,NA,1017044,Health Care,Medical/Dental Instruments
bb,BlackBerry Limited,Canada,NA,16098495,Technology,Computer Software: Prepackaged Software
bbva,Banco Bilbao Vizcaya Argentaria S.A.,Spain,NA,1349699,Finance,Commercial Banks
bbw,Build-A-Bear Workshop Inc.,United States,2004,317391,Consumer Services,Recreational Products/Toys
bby,Best Buy Co. Inc.,United States,NA,2502304,Consumer Services,Consumer Electronics/Video Chains
bc,Brunswick Corporation,United States,NA,721589,Energy,Industrial Machinery/Components
bcc,Boise Cascade L.L.C.,United States,2013,326406,Consumer Services,RETAIL: Building Materials
bce,BCE Inc.,Canada,NA,851312,Public Utilities,Telecommunications Equipment
bcei,Bonanza Creek Energy Inc.,United States,2017,394027,Energy,Oil & Gas Production
bco,Brinks Company (The),United States,NA,156521,Transportation,Oil Refining/Marketing
bcs,Barclays PLC,United Kingdom,NA,4169499,Finance,Commercial Banks
bdc,Belden Inc,United States,NA,242977,Basic Industries,Telecommunications Equipment
bdn,Brandywine Realty Trust,United States,NA,1973415,Consumer Services,Real Estate Investment Trusts
bdx,Becton Dickinson and Company,United States,NA,772491,Health Care,Medical/Dental Instruments
ben,Franklin Resources Inc.,United States,NA,1777891,Finance,Investment Managers
bery,Berry Global Group Inc.,United States,2012,704692,Consumer Non-Durables,Plastic Products
bfam,Bright Horizons Family Solutions Inc.,United States,2013,711023,Miscellaneous,Other Consumer Services
bfly,Butterfly Network Inc. Class A,NA,2020,2739340,Health Care,Medical Electronics
bfs,Saul Centers Inc.,United States,1993,30891,Consumer Services,Real Estate Investment Trusts
bgs,B&G Foods Inc. B&G Foods Inc.,United States,NA,876420,Consumer Non-Durables,Packaged Foods
bgsf,BGSF Inc.,United States,NA,47932,Technology,Professional Services
bh,Biglari Holdings Inc. Class B,United States,2018,3228,Consumer Services,Restaurants
bhc,Bausch Health Companies Inc.,Canada,NA,1621583,Health Care,Major Pharmaceuticals
bhe,Benchmark Electronics Inc.,United States,NA,142585,Technology,Electrical Products
bhlb,Berkshire Hills Bancorp Inc.,United States,NA,226623,Finance,Banks
bhr,Braemar Hotels & Resorts Inc.,United States,2013,330898,Consumer Services,Real Estate Investment Trusts
bio,Bio-Rad Laboratories Inc. Class A,United States,NA,105541,Capital Goods,Biotechnology: Laboratory Analytical Instruments
bj,BJ's Wholesale Club Holdings Inc.,United States,2018,1411585,Consumer Services,Department/Specialty Retail Stores
bk,The Bank of New York Mellon Corporation,United States,NA,3351646,Finance,Major Banks
bkd,Brookdale Senior Living Inc.,United States,2005,1641766,Health Care,Hospital/Nursing Management
bke,Buckle Inc. (The),United States,NA,608402,Consumer Services,Clothing/Shoe/Accessory Stores
bkh,Black Hills Corporation,United States,NA,269003,Public Utilities,Electric Utilities: Central
bki,Black Knight Inc.,NA,2017,589146,Technology,Computer Software: Prepackaged Software
bkr,Baker Hughes Company Class A,NA,2017,6555935,Energy,Metal Fabrications
bku,BankUnited Inc.,United States,2011,412005,Finance,Savings Institutions
bld,TopBuild Corp.,United States,2015,197862,Basic Industries,Engineering & Construction
blk,BlackRock Inc.,United States,1999,477117,Finance,Investment Bankers/Brokers/Service
bll,Ball Corporation,United States,NA,1687241,Consumer Durables,Containers/Packaging
bmi,Badger Meter Inc.,United States,NA,262675,Capital Goods,Industrial Machinery/Components
bmo,Bank Of Montreal,Canada,NA,557974,Finance,Commercial Banks
bmy,Bristol-Myers Squibb Company,United States,NA,11794015,Health Care,Major Pharmaceuticals
bned,Barnes & Noble Education Inc,United States,2015,409824,Consumer Services,Other Specialty Stores
bnl,Broadstone Net Lease Inc.,United States,2020,426777,Consumer Services,Real Estate Investment Trusts
boas,BOA Acquisition Corp. Class A,NA,2021,66500,Finance,Business Services
boh,Bank of Hawaii Corporation,United States,NA,136507,Finance,Major Banks
boot,Boot Barn Holdings Inc.,United States,2014,360035,Consumer Services,Clothing/Shoe/Accessory Stores
bp,BP p.l.c.,United Kingdom,NA,15511127,Energy,Integrated oil Companies
bpt,BP Prudhoe Bay Royalty Trust,United States,NA,167572,Energy,Integrated oil Companies
brbr,BellRing Brands Inc. Class A,United States,2019,183961,Consumer Non-Durables,Packaged Foods
brc,Brady Corporation,United States,NA,125285,Consumer Durables,Miscellaneous manufacturing industries
brmk,Broadmark Realty Capital Inc.,United States,2019,856557,Consumer Services,Real Estate Investment Trusts
bro,Brown & Brown Inc.,United States,NA,663964,Finance,Specialty Insurers
brt,BRT Apartments Corp. (MD),United States,NA,49886,Consumer Services,Real Estate Investment Trusts
brx,Brixmor Property Group Inc.,NA,2013,1214315,Consumer Services,Real Estate Investment Trusts
bsig,BrightSphere Investment Group Inc.,United Kingdom,2014,498944,Finance,Investment Managers
bsx,Boston Scientific Corporation,United States,NA,4861375,Health Care,Medical/Dental Instruments
bti,British American Tobacco  Industries p.l.c. ADR,United Kingdom,NA,1930271,Consumer Non-Durables,Farming/Seeds/Milling
btu,Peabody Energy Corporation,United States,2017,2432826,Energy,Coal Mining
burl,Burlington Stores Inc.,NA,2013,479110,Consumer Services,Department/Specialty Retail Stores
bv,BrightView Holdings Inc.,United States,2018,163260,Consumer Non-Durables,Farming/Seeds/Milling
bvh,Bluegreen Vacations Holding Corporation Class A,United States,2017,32777,Finance,Real Estate
bw,Babcock & Wilcox Enterprises Inc.,United States,2015,648873,Capital Goods,Building Products
bwa,BorgWarner Inc.,United States,NA,2493352,Capital Goods,Auto Parts:O.E.M.
bwxt,BWX Technologies Inc.,United States,NA,242769,Energy,Industrial Machinery/Components
bx,The Blackstone Group Inc.,United States,2007,2211717,Finance,Investment Managers
bxc,Bluelinx Holdings Inc.,United States,2004,150656,Capital Goods,Wholesale Distributors
bxg,Bluegreen Vacations Corporation,United States,2017,28622,Finance,Real Estate
bxmt,Blackstone Mortgage Trust Inc.,United States,NA,702523,Consumer Services,Real Estate Investment Trusts
bxp,Boston Properties Inc.,United States,1997,856372,Consumer Services,Real Estate Investment Trusts
byd,Boyd Gaming Corporation,United States,1993,517121,Consumer Services,Hotels/Resorts
bzh,Beazer Homes USA Inc.,United States,1994,218900,Capital Goods,Homebuilding
c,Citigroup Inc.,United States,NA,13993359,Finance,Major Banks
cabo,Cable One Inc.,United States,2015,28168,Consumer Services,Television Services
caci,CACI International Inc. Class A,United States,NA,205763,Technology,EDP Services
cade,Cadence Bancorporation Class A,United States,2017,670631,Finance,Major Banks
cag,ConAgra Brands Inc.,United States,NA,4259684,Consumer Non-Durables,Packaged Foods
cah,Cardinal Health Inc.,United States,NA,1288139,Health Care,Other Pharmaceuticals
cai,CAI International Inc.,United States,NA,162791,Technology,Diversified Commercial Services
cal,Caleres Inc.,United States,NA,273578,Consumer Non-Durables,Shoe Manufacturing
calx,Calix Inc,United States,2010,977121,Consumer Services,Telecommunications Equipment
carr,Carrier Global Corporation,NA,2020,6117331,Capital Goods,Industrial Machinery/Components
cas,Cascade Acquisition Corp. Class A,NA,2021,6661,Finance,Business Services
cat,Caterpillar Inc.,United States,NA,2448223,Capital Goods,Construction/Ag Equipment/Trucks
cato,Cato Corporation (The) Class A,United States,NA,221608,Consumer Services,Clothing/Shoe/Accessory Stores
cb,Chubb Limited,Switzerland,NA,1256135,Finance,Property-Casualty Insurers
cbah,CBRE Acquisition Holdings Inc. Class A,NA,2021,29525,Finance,Business Services
cbb,Cincinnati Bell Inc.,United States,NA,318913,Public Utilities,Telecommunications Equipment
cbre,CBRE Group Inc Class A,United States,NA,1786878,Finance,Real Estate
cbt,Cabot Corporation,United States,NA,216301,Basic Industries,Major Chemicals
cbu,Community Bank System Inc.,United States,NA,289788,Finance,Major Banks
cbz,CBIZ Inc.,United States,NA,139428,Miscellaneous,Business Services
cc,Chemours Company (The),United States,2015,731866,Basic Industries,Major Chemicals
cciv,Churchill Capital Corp IV Class A,United States,2020,15256645,Capital Goods,Auto Manufacturing
ccj,Cameco Corporation,Canada,1996,3630633,Basic Industries,Precious Metals
ccl,Carnival Corporation,United States,1987,70852851,Consumer Services,Marine Transportation
cco,Clear Channel Outdoor Holdings Inc.,United States,2005,1777164,Consumer Services,Advertising
ccs,Century Communities Inc.,United States,2014,483724,Capital Goods,Homebuilding
ccu,Compania Cervecerias Unidas S.A.,Chile,NA,108461,Consumer Non-Durables,Beverages (Production/Distribution)
ccv,Churchill Capital Corp V Class A,NA,2021,159092,Finance,Business Services
ccvi,Churchill Capital Corp VI Class A,NA,2021,14781,Finance,Business Services
ccx,Churchill Capital Corp II Class A,NA,2019,1237703,Technology,Computer Software: Prepackaged Software
cday,Ceridian HCM Holding Inc.,United States,2018,963279,Technology,Computer Software: Prepackaged Software
cde,Coeur Mining Inc.,United States,NA,2245013,Basic Industries,Precious Metals
cdr,Cedar Realty Trust Inc.,United States,NA,45404,Consumer Services,Real Estate Investment Trusts
ce,Celanese Corporation Celanese Corporation,United States,2005,689102,Basic Industries,Major Chemicals
cea,China Eastern Airlines Corporation Ltd.,China,1997,4269,Transportation,Air Freight/Delivery Services
ceix,CONSOL Energy Inc.,NA,2017,449241,Energy,Coal Mining
cf,CF Industries Holdings Inc.,United States,2005,1211188,Basic Industries,Agricultural Chemicals
cfg,Citizens Financial Group Inc.,United States,2014,2948568,Finance,Major Banks
cfr,Cullen/Frost Bankers Inc.,United States,NA,215379,Finance,Major Banks
cfx,Colfax Corporation,United States,2008,895276,Capital Goods,Fluid Controls
cga,China Green Agriculture Inc.,China,NA,19489,Basic Industries,Agricultural Chemicals
chct,Community Healthcare Trust Incorporated,United States,2015,82608,Consumer Services,Real Estate Investment Trusts
chd,Church & Dwight Company Inc.,United States,NA,1278675,Basic Industries,Package Goods/Cosmetics
chgg,Chegg Inc.,NA,2013,863037,Consumer Services,Other Consumer Services
chh,Choice Hotels International Inc.,United States,NA,302138,Consumer Services,Hotels/Resorts
chmi,Cherry Hill Mortgage Investment Corporation,NA,2013,199415,Consumer Services,Real Estate Investment Trusts
chpt,ChargePoint Holdings Inc.,NA,2019,9272498,Capital Goods,Industrial Specialties
chra,Charah Solutions Inc.,United States,2018,73189,Basic Industries,Environmental Services
chs,Chico's FAS Inc.,United States,NA,1374724,Consumer Services,Clothing/Shoe/Accessory Stores
chwy,Chewy Inc. Class A,NA,2019,2364912,Consumer Services,Catalog/Specialty Distribution
ci,Cigna Corporation,United States,NA,1358786,Health Care,Medical Specialities
cia,Citizens Inc. Class A ($1.00 Par),United States,NA,96978,Finance,Life Insurance
cib,BanColombia S.A.,Colombia,NA,88825,Finance,Commercial Banks
cien,Ciena Corporation,United States,1997,729376,Public Utilities,Telecommunications Equipment
cim,Chimera Investment Corporation,United States,2007,991051,Consumer Services,Real Estate Investment Trusts
cio,City Office REIT Inc.,NA,2014,288397,Consumer Services,Real Estate Investment Trusts
cir,CIRCOR International Inc.,United States,NA,88961,Capital Goods,Metal Fabrications
cit,CIT Group Inc (DEL),United States,NA,610917,Finance,Major Banks
ckh,SEACOR Holdings Inc.,United States,NA,731676,Transportation,Marine Transportation
cl,Colgate-Palmolive Company,United States,NA,5027804,Consumer Non-Durables,Package Goods/Cosmetics
clas,Class Acceleration Corp. Class A,NA,2021,26193,Finance,Business Services
clb,Core Laboratories N.V.,Netherlands,1995,339269,Energy,Oilfield Services/Equipment
cldr,Cloudera Inc.,Canada,2017,2627792,Technology,Computer Software: Prepackaged Software
clf,Cleveland-Cliffs Inc.,United States,NA,17569671,Basic Industries,Precious Metals
clgx,CoreLogic Inc.,United States,NA,285267,Technology,EDP Services
clh,Clean Harbors Inc.,United States,NA,263111,Basic Industries,Environmental Services
cli,Mack-Cali Realty Corporation,United States,NA,401021,Consumer Services,Real Estate Investment Trusts
clii,Climate Change Crisis Real Impact I Acquisition Corporation Class A,United States,2020,1054658,Consumer Services,Automotive Aftermarket
clim,Climate Real Impact Solutions II Acquisition Corporation Class A,NA,2021,218178,Finance,Business Services
clnc,Colony Credit Real Estate Inc. Class A,NA,2018,337237,Consumer Services,Real Estate Investment Trusts
clpr,Clipper Realty Inc.,United States,2017,123542,Consumer Services,Real Estate Investment Trusts
clr,Continental Resources Inc.,United States,2007,1530402,Energy,Oil & Gas Production
cls,Celestica Inc.,Canada,1998,130534,Technology,Electrical Products
clw,Clearwater Paper Corporation,United States,NA,225616,Basic Industries,Paper
clx,Clorox Company (The),United States,NA,1429437,Consumer Durables,Specialty Chemicals
cm,Canadian Imperial Bank of Commerce,Canada,NA,319139,Finance,Commercial Banks
cma,Comerica Incorporated,United States,NA,848375,Finance,Major Banks
cmc,Commercial Metals Company,United States,NA,897150,Basic Industries,Steel/Iron Ore
cmd,Cantel Medical Corp.,United States,NA,341490,Health Care,Medical/Dental Instruments
cmg,Chipotle Mexican Grill Inc.,United States,2006,523009,Consumer Services,Restaurants
cmi,Cummins Inc.,United States,NA,772438,Energy,Industrial Machinery/Components
cmo,Capstead Mortgage Corporation,United States,NA,669037,Consumer Services,Real Estate Investment Trusts
cmp,Compass Minerals Intl Inc,United States,2003,107057,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
cmre,Costamare Inc. $0.0001 par value,Greece,2010,806225,Transportation,Marine Transportation
cms,CMS Energy Corporation,United States,NA,1574458,Public Utilities,Power Generation
cna,CNA Financial Corporation,United States,NA,143807,Finance,Property-Casualty Insurers
cnc,Centene Corporation,United States,NA,2723515,Health Care,Medical Specialities
cnd,Concord Acquisition Corp. Class A,NA,2021,27077,Finance,Business Services
cni,Canadian National Railway Company,Canada,NA,441554,Transportation,Railroads
cnk,Cinemark Holdings Inc Cinemark Holdings Inc.,United States,2007,3022204,Consumer Services,Movies/Entertainment
cnmd,CONMED Corporation,United States,1987,208102,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
cnne,Cannae Holdings Inc.,NA,2017,496306,Consumer Services,Restaurants
cno,CNO Financial Group Inc.,United States,NA,550717,Finance,Accident &Health Insurance
cnp,CenterPoint Energy Inc (Holding Co),United States,NA,3693645,Public Utilities,Electric Utilities: Central
cnq,Canadian Natural Resources Limited,Canada,NA,2289503,Energy,Oil & Gas Production
cnr,Cornerstone Building Brands Inc.,United States,NA,765088,Capital Goods,Metal Fabrications
cns,Cohen & Steers Inc,United States,2004,88638,Finance,Investment Managers
cnx,CNX Resources Corporation,United States,1999,2320745,Energy,Oil & Gas Production
cof,Capital One Financial Corporation,United States,1994,1805316,Finance,Major Banks
cog,Cabot Oil & Gas Corporation,United States,1990,5053349,Energy,Oil & Gas Production
coo,The Cooper Companies Inc.,United States,NA,354729,Health Care,Ophthalmic Goods
cop,ConocoPhillips,United States,NA,12405068,Energy,Integrated oil Companies
cor,CoreSite Realty Corporation,United States,2010,311685,Consumer Services,Real Estate Investment Trusts
corr,CorEnergy Infrastructure Trust Inc.,United States,NA,138284,Consumer Services,Real Estate Investment Trusts
coty,Coty Inc. Class A,United States,2013,5899781,Consumer Non-Durables,Package Goods/Cosmetics
cour,Coursera Inc.,NA,2021,3249211,Technology,Computer Software: Prepackaged Software
cp,Canadian Pacific Railway Limited,Canada,NA,381850,Transportation,Railroads
cpa,Copa Holdings S.A. Copa Holdings S.A. Class A,Panama,2005,191508,Transportation,Air Freight/Delivery Services
cpb,Campbell Soup Company,United States,NA,2376556,Consumer Non-Durables,Packaged Foods
cpe,Callon Petroleum Company,United States,NA,2168906,Energy,Oil & Gas Production
cpk,Chesapeake Utilities Corporation,United States,NA,43294,Public Utilities,Oil & Gas Production
cplg,CorePoint Lodging Inc.,NA,2018,130788,Consumer Services,Real Estate Investment Trusts
cpng,Coupang Inc. Class A,NA,2021,3605026,Consumer Services,Catalog/Specialty Distribution
cps,Cooper-Standard Holdings Inc.,United States,NA,113197,Capital Goods,Auto Parts:O.E.M.
cpsr,Capstar Special Purpose Acquisition Corp. Class A,NA,2020,3106,Finance,Business Services
cpt,Camden Property Trust,United States,1993,647655,Consumer Services,Real Estate Investment Trusts
cpuh,Compute Health Acquisition Corp. Class A,NA,2021,109095,Finance,Business Services
cr,Crane Co.,United States,NA,183012,Capital Goods,Metal Fabrications
crc,California Resources Corporation,NA,2020,272381,Energy,Oil & Gas Production
